Manufacturer,Model,Device Codename,Chipset Processor,DPI,Pixel
 Asus, ME302KL, ME302KL, msm8960, 240dpi, 1200x1848
 Asus, P00L, ASUS_P00L_2, mt6735, 240dpi, 1200x1848
 Asus, P00A, P00A_2, mt8163, 213dpi, 1280x736
 Asus, P00C, P00C_2, mt8163, 160dpi, 1280x752
 Asus, P01T_1, P01T_1, mofd_v1, 160dpi, 1280x752
 Asus, P028, ASUS_P028_1, mt8163, 160dpi, 1280x752
 Asus, ASUS_P00I, ASUS_P00I, qcom, 320dpi, 1536x2048
 Asus, P00I, P00I, qcom, 320dpi, 1536x2048
 Asus, ASUS_X018D, ASUS_X018_4, mt6755, 480dpi, 2028x1080
 Asus, K00C, K00C, macallan, 320dpi, 2560x1504
 Asus, ASUS_X00GD, ASUS_X00G_1, mt6755, 360dpi, 720x1172
 Asus, ASUS_X008D, ASUS_X008, mt6735, 352dpi, 720x1174
 Asus, ASUS_X008D, ASUS_X008_1, mt6735, 352dpi, 720x1174
 Asus, ASUS_X008, ASUS_X008, mt6735, 320dpi, 720x1184
 Asus, ASUS_X008DB, ASUS_X008, mt6735, 320dpi, 720x1184
 Asus, ASUS_X008DB, ASUS_X008_1, mt6735, 320dpi, 720x1184
 Asus, ASUS_X008DC, ASUS_X008_1, mt6735, 320dpi, 720x1184
 Asus, ASUS_X00KD, ASUS_X00K_1, mt6735, 320dpi, 720x1184
 Asus, ASUS_A007, ASUS_A007, qcom, 320dpi, 720x1280
 Asus, ASUS_T00G, ASUS_T00G, redhookbay, 320dpi, 720x1280
 Asus, ASUS_X007D, ASUS_X007D, qcom, 320dpi, 720x1280
 Asus, ASUS_X00AD, ASUS_X00AD_2, qcom, 320dpi, 720x1280
 Asus, ASUS_X00HD, ASUS_X00HD_1, qcom, 320dpi, 720x1280
 Asus, ASUS_X00ID, ASUS_X00ID, qcom, 320dpi, 720x1280
 Asus, ASUS_X00ID, ASUS_X00IDB, qcom, 320dpi, 720x1280
 Asus, ASUS_X00LDA, ASUS_X00LD_3, qcom, 320dpi, 720x1280
 Asus, ASUS_X013D, ASUS_X013D_2, qcom, 320dpi, 720x1280
 Asus, ASUS_X013D, err_value, qcom, 320dpi, 720x1280
 Asus, ASUS_Z008D, Z008_1, mofd_v1, 320dpi, 720x1280
 Asus, ASUS_Z00ED, ASUS_Z00E_1, qcom, 320dpi, 720x1280
 Asus, ASUS_Z00ED, ASUS_Z00E_2, qcom, 320dpi, 720x1280
 Asus, ASUS_Z00LD, ASUS_Z00L_63, qcom, 320dpi, 720x1280
 Asus, ASUS_Z00LD, ASUS_Z00L_93, qcom, 320dpi, 720x1280
 Asus, ASUS_Z00VD, ASUS_Z00VD, mt6580, 320dpi, 720x1280
 Asus, ASUS_Z010D, ASUS_Z010, qcom, 320dpi, 720x1280
 Asus, ASUS_Z010D, ASUS_Z010_CD, qcom, 320dpi, 720x1280
 Asus, ASUS_Z010DD, ASUS_Z010_2, qcom, 320dpi, 720x1280
 Asus, G550KL, ASUS_X013D_2, qcom, 320dpi, 720x1280
 Asus, ZB500KL, ASUS_X00AD_2, qcom, 320dpi, 720x1280
 Asus, ZB501KL, ASUS_A007, qcom, 320dpi, 720x1280
 Asus, ZB551KL, ASUS_X013D_2, qcom, 320dpi, 720x1280
 Asus, ZC554KL, ASUS_X00IDB, qcom, 320dpi, 720x1280
 Asus, ZD553KL, ASUS_X00LD_1, qcom, 320dpi, 720x1280
 Asus, ASUS_X00LD, ASUS_X00LD_1, qcom, 360dpi, 720x1280
 Asus, ZB553KL, ASUS_X00LD_3, qcom, 360dpi, 720x1280
 Asus, ZC520KL, ASUS_X00HD_1, qcom, 360dpi, 720x1280
 Asus, ZC520KL, ASUS_X00HD_4, qcom, 360dpi, 720x1280
 Asus, ZC554KL, ASUS_X00ID, qcom, 360dpi, 720x1280
 Asus, ASUS_X018D, ASUS_X018, mt6755, 320dpi, 720x1336
 Asus, ASUS_X018D, ASUS_X018_2, mt6755, 320dpi, 720x1336
 Asus, ASUS_X00PD, ASUS_X00P_3, qcom, 360dpi, 720x1341
 Asus, ASUS_X00RD, ASUS_X00R_3, qcom, 360dpi, 720x1341
 Asus, ZA550KL, ASUS_X00R_2, qcom, 360dpi, 720x1341
 Asus, ZB555KL, ASUS_X00P_3, qcom, 360dpi, 720x1341
 Asus, ASUS_X00PD, ASUS_X00P_1, qcom, 320dpi, 720x1352
 Asus, ASUS_X00RD, ASUS_X00R_2, qcom, 320dpi, 720x1352
 Asus, ASUS_X00RD, ASUS_X00R_7, qcom, 320dpi, 720x1352
 Asus, G552KL, ASUS_X00R_3, qcom, 320dpi, 720x1352
 Asus, G553KL, ASUS_X00R_7, qcom, 320dpi, 720x1352
 Asus, ZA550KL, ASUS_X00R_1, qcom, 320dpi, 720x1352
 Asus, ZB555KL, ASUS_X00P_1, qcom, 320dpi, 720x1352
 Asus, ZB633KL, ASUS_X01A_1, qcom, 360dpi, 720x1357
 Asus, ASUS_X018DC, ASUS_X018, mt6755, 320dpi, 720x1364
 Asus, ASUS_X01AD, ASUS_X01A_1, qcom, 320dpi, 720x1369
 Asus, K00Z, K00Z, redhookbay, 213dpi, 800x1216
 Asus, ME173X, ME173X, mt8125, 213dpi, 800x1216
 Asus, P024, P024_1, qcom, 213dpi, 800x1216
 Asus, K010, K010, K010, 160dpi, 800x1232
 Asus, P021, P021, sofia3g, 160dpi, 800x1232
 Asus, P023, P023_1, sofia3g, 160dpi, 800x1232
 Asus/google, Nexus 7, flo, flo, 320dpi, 1200x1824
 BlackBerry/blackberry, BBB100-2, bbb100, qcom, 420dpi, 1080x1620
 BlackBerry/blackberry, BBB100-5, bbb100, qcom, 420dpi, 1080x1620
 BlackBerry/blackberry, BBE100-1, bbe100, qcom, 420dpi, 1080x1620
 BlackBerry/blackberry, BBF100-6, bbf100, qcom, 420dpi, 1080x1620
 BlackBerry/blackberry, BBF100-2, bbf100, qcom, 500dpi, 1080x1620
 BlackBerry/blackberry, BBD100-6, bbd100, qcom, 540dpi, 1080x1920
 BlackBerry/blackberry, BBA100-2, argon, qcom, 560dpi, 1440x2392
 BQ, Aquaris M5, Aquaris_M5, qcom, 480dpi, 1080x1920
 BQ, Aquaris X, bardock, qcom, 480dpi, 1080x1920
 BQ, Aquaris X Pro, bardock-pro, qcom, 480dpi, 1080x1920
 BQ, Aquaris X5 Plus, Aquaris_X5_Plus, qcom, 480dpi, 1080x1920
 BQ, Aquaris U Lite, chaozulite, qcom, 320dpi, 720x1184
 BQ, BQ-6050, BQ-6050, mt6735, 320dpi, 720x1184
 BQ, BQS-5070, BQS-5070, mt6735, 320dpi, 720x1184
 BQ, Aquaris E5, Aquaris_E5, qcom, 320dpi, 720x1280
 BQ, Aquaris E5 HD, Aquaris_E5_HD, mt6582, 320dpi, 720x1280
 BQ, Aquaris U Plus, tenshi, qcom, 320dpi, 720x1280
 BQ, Aquaris U2, yamcha, qcom, 320dpi, 720x1280
 BQ, Aquaris X5, Aquaris_X5, qcom, 320dpi, 720x1280
 BQ, BQ-5032, BQ-5032, mt6735, 320dpi, 720x1280
 BQ, BQ-5059, BQ-5059, mt6580, 320dpi, 720x1280
 BQ, BQS-5020, BQS-5020, mt6580, 320dpi, 720x1280
 BQ, BQS-5050, BQS-5050, mt6580, 320dpi, 720x1280
 BQ, BQ-6051G, BQ-6051G, sp7731e_1h10, 320dpi, 720x1400
 BQru, BQ-6200L, BQru-6200L, mt6771, 480dpi, 1080x1776
 BQru, BQ-5516L, BQru-5516L, mt6755, 480dpi, 1080x1920
 BQru, BQ-5517L, BQru-5517L, mt6755, 480dpi, 1080x1920
 BQru, BQ-6035L, BQru-6035L, s9863a1h10, 480dpi, 1080x2016
 BQru, BQ-5731L, BQru-5731L, s9863a1h10, 480dpi, 1080x2046
 BQru, BQ-6430L, BQru_6430L, mt6771, 480dpi, 1080x2067
 BQru, BQ-5012L, BQru_5012L, mt6735, 320dpi, 720x1184
 BQru, BQru-5202, BQru-5202, mt6735, 320dpi, 720x1184
 BQru, BQru-5504, BQru_5504, mt6735, 320dpi, 720x1184
 BQru, BQru-5510, BQru_5510, mt6735, 320dpi, 720x1184
 BQru, BQ-5211, BQru-5211, mt6580, 320dpi, 720x1210
 BQru, BQ-5005L, BQru_5005L, mt6737, 320dpi, 720x1280
 BQru, BQ-5009L, BQru_5009L, mt6735, 320dpi, 720x1280
 BQru, BQ-5016G, BQru-5016G, sp7731e_1h30, 320dpi, 720x1280
 BQru, BQ-5046L, BQ-5046L, mt6739, 320dpi, 720x1280
 BQru, BQ-5507L, BQru-5507L, mt6735, 320dpi, 720x1280
 BQru, BQru-5057, BQru_5057, mt6580, 320dpi, 720x1280
 BQru, BQ-5008L, BQru-5008L, mt6735, 360dpi, 720x1280
 BQru, BQ-5031G, BQru-5031G, sp7731e_1h10, 360dpi, 720x1280
 BQru, BQ-5206L, BQru-5206L, mt6735, 360dpi, 720x1280
 BQru, BQ-5530L, BQru-5530L, mt6739, 360dpi, 720x1332
 BQru, BQ-6001L, BQru-6001L, mt6739, 360dpi, 720x1332
 BQru, BQ-5512L, BQru-5512L, mt6739, 320dpi, 720x1344
 BQru, BQ-5520L, BQru-5520L, mt6739, 320dpi, 720x1344
 BQru, BQ-5535L, BQru-5535L, s9863a1h10, 320dpi, 720x1344
 BQru, BQ-5540L, BQru-5540L, mt6739, 320dpi, 720x1344
 BQru, BQ-5707G, BQru-5707G, mt6580, 320dpi, 720x1344
 BQru, BQ-5745L, BQru-5745L, s9863a1h10_go_32b, 320dpi, 720x1344
 BQru, BQ-6016L, BQru-6016L, mt6739, 320dpi, 720x1344
 BQru, BQ-5528L, BQru-5528L, s9863a3h10, 272dpi, 720x1358
 BQru, BQ-5500L, BQru-5500L, mt6735, 320dpi, 720x1368
 BQru, BQ-5730L, BQru-5730L, s9863a1h10, 320dpi, 720x1368
 BQru, BQ-6424L, BQru-6424L, mt6763, 320dpi, 720x1385
 BQru, BQ-6040L, BQru-6040L, v800, 360dpi, 720x1400
 BQru, BQ-6630L, BQru-6630L, th105_n62bq, 320dpi, 720x1474
 BQru, BQ-1077L, BQru-1077L, sp9832a_2h11, 213dpi, 800x1216
 BQru, BQ-1083G, BQru-1083G_2019, sp7731e_1h10, 213dpi, 800x1216
 BQru, BQ-1084L, BQru-1084L, sp9832e_1h10_go, 213dpi, 800x1216
 BQru, BQ-1085L, BQru-1085L, sp9832e_1h10, 213dpi, 800x1216
 BQru, BQ-7000G, BQru-7000G, sp7731e_1h10, 213dpi, 800x1216
 Google/google, Pixel 2, walleye, walleye, 460dpi, 1080x1782
 Google/google, Pixel, sailfish, sailfish, 420dpi, 1080x1794
 Google/google, PIXEL 2 XL, taimen, taimen, 240dpi, 1080x1920
 Google/google, Pixel 3a XL, bonito, bonito, 492dpi, 1080x2012
 Google/google, Pixel 4a, sunfish, sunfish, 440dpi, 1080x2072
 Google/google, Pixel 5, redfin, redfin, 440dpi, 1080x2072
 Google/google, Pixel 3a, sargo, sargo, 490dpi, 1080x2073
 Google/google, Pixel 3a, sargo, sar, 440dpi, 1080x2088
 Google/google, Pixel 4, flame, flame, 540dpi, 1080x2118
 Google/google, Pixel 7, panther, panther, 420dpi, 1080x2138
 Google/google, Pixel 6, oriole, oriole, 420dpi, 1080x2156
 Google/google, Pixel 6a, bluejay, bluejay, 420dpi, 1080x2156
 Google/google, Pixel 7 Pro, cheetah, cheetah, 420dpi, 1080x2179
 Google/google, Pixel 5a, barbet, barbet, 420dpi, 1080x2201
 Google/google, Pixel XL, marlin, marlin, 560dpi, 1440x2392
 Google/google, Pixel 4 XL, coral, coral, 560dpi, 1440x2872
 Google/google, Pixel 6 Pro, raven, raven, 560dpi, 1440x2906
 Google/google, Pixel C, dragon, drago, 320dpi, 1800x2448
 Google/google, Pixel C, dragon, dragon, 320dpi, 1800x2448
 Google/google, kukui, kukui_cheets, cheets, 240dpi, 1920x1058
 Google/google, octopus, octopus_cheets, cheets, 160dpi, 1920x980
 Google/google, Pixel 3, blueline, blueline, 490dpi, 2013x1080
 Google/google, Pixel 3 XL, crosshatch, crosshatch, 560dpi, 2621x1440
 Google/google, G011A, G011A, qcom, 192dpi, 720x1280
 Haier, G7s, G7s, mt6735, 320dpi, 720x1280
 Haier, HM-I560-FL, HM-I560-FL, mt6735, 320dpi, 720x1280
 Haier, E11, E11, mt6755, 320dpi, 720x1344
 Haier, Titan_T3, Titan_T3, mt6739, 320dpi, 720x1344
 Haier, Titan_T5, Titan_T5, mt6765, 320dpi, 720x1344
 HMD Global/Nokia, TA-1054, PL2, qcom, 420dpi, 1080x1794
 HMD Global/Nokia, Nokia 6.1, PL2_sprout, qcom, 540dpi, 1080x1794
 HMD Global/Nokia, TA-1025, PLE, qcom, 480dpi, 1080x1920
 HMD Global/Nokia, TA-1021, PLE, qcom, 540dpi, 1080x1920
 HMD Global/Nokia, Nokia 5.1, CO2N_sprout, mt6755, 500dpi, 1080x2010
 HMD Global/Nokia, Nokia 8.1, PNX_sprout, qcom, 420dpi, 1080x2034
 HMD Global/Nokia, Nokia 8.1, PNXN, qcom, 420dpi, 1080x2034
 HMD Global/Nokia, Nokia 7 plus, B2N_sprout, qcom, 500dpi, 1080x2034
 HMD Global/Nokia, Nokia 6.1 Plus, DRG_sprout, qcom, 420dpi, 1080x2065
 HMD Global/Nokia, Nokia 7.1, CTL_sprout, qcom, 460dpi, 1080x2065
 HMD Global/Nokia, Nokia 7.2, DDV_sprout, qcom, 460dpi, 1080x2120
 HMD Global/Nokia, Nokia 6.2, SLD_sprout, qcom, 420dpi, 1080x2132
 HMD Global/Nokia, Nokia 8.3 5G, BGT, qcom, 400dpi, 1080x2177
 HMD Global/Nokia, Nokia 8.3 5G, BGT_sprout, qcom, 400dpi, 1080x2177
 HMD Global/Nokia, Nokia X20, QKS, qcom, 400dpi, 1080x2179
 HMD Global/Nokia, Nokia G400 5G, STM, qcom, 400dpi, 1080x2224
 HMD Global/Nokia, Nokia X10, SCW, qcom, 400dpi, 1080x2259
 HMD Global/Nokia, Nokia X30 5G, FCN_sprout, qcom, 400dpi, 1080x2270
 HMD Global/Nokia, TA-1012, NB1, qcom, 560dpi, 1440x2560
 HMD Global/Nokia, TA-1004, NB1, qcom, 720dpi, 1440x2560
 HMD Global/Nokia, Nokia 9, AOP_sprout, qcom, 560dpi, 1440x2712
 HMD Global/Nokia, Nokia 2, E1M, qcom, 360dpi, 720x1172
 HMD Global/Nokia, Nokia 2.1, E2M, qcom, 360dpi, 720x1196
 HMD Global/Nokia, TA-1020, NE1, mt6735, 320dpi, 720x1280
 HMD Global/Nokia, TA-1024, ND1, qcom, 360dpi, 720x1280
 HMD Global/Nokia, TA-1032, NE1, mt6735, 360dpi, 720x1280
 HMD Global/Nokia, TA-1053, ND1, qcom, 360dpi, 720x1280
 HMD Global/Nokia, Nokia C01 Plus, IRS, T19545AA1, 360dpi, 720x1332
 HMD Global/Nokia, Nokia C1 Plus, YDU, sp9832e_1h10_go, 330dpi, 720x1341
 HMD Global/Nokia, Nokia 3.1 Plus, RHD, qcom, 280dpi, 720x1344
 HMD Global/Nokia, Nokia 3.1, ES2N_sprout, mt6755, 360dpi, 720x1344
 HMD Global/Nokia, Nokia 3.1 Plus, ROON_sprout, mt6765, 360dpi, 720x1344
 HMD Global/Nokia, Nokia 2.3, IRM_sprout, mt6761, 360dpi, 720x1356
 HMD Global/Nokia, Nokia 3.2, DPL_sprout, qcom, 360dpi, 720x1356
 HMD Global/Nokia, Nokia 1.3, DRX, qcom, 330dpi, 720x1361
 HMD Global/Nokia, Nokia 5.1 Plus, PDA_sprout, mt6771, 360dpi, 720x1361
 HMD Global/Nokia, Nokia 2.2, WSP_sprout, mt6761, 320dpi, 720x1364
 HMD Global/Nokia, Nokia 4.2, PAN_sprout, qcom, 300dpi, 720x1370
 HMD Global/Nokia, Nokia 3 V, DPL_VZW, qcom, 320dpi, 720x1370
 HMD Global/Nokia, Nokia 5.4, DRD, qcom, 306dpi, 720x1398
 HMD Global/Nokia, Nokia 3.4, DRS, qcom, 280dpi, 720x1406
 HMD Global/Nokia, Nokia 3.4, DRS_sprout, qcom, 280dpi, 720x1406
 HMD Global/Nokia, Nokia 5.3, CAP_sprout, qcom, 332dpi, 720x1445
 HMD Global/Nokia, Nokia 5.3, CAP, qcom, 306dpi, 720x1453
 HMD Global/Nokia, Nokia G20, RNN, mt6765, 332dpi, 720x1456
 HMD Global/Nokia, Nokia 3.4, DRSA_sprout, qcom, 280dpi, 720x1462
 HMD Global/Nokia, Nokia G21, SCP_sprout, ShadowcatPlus, 280dpi, 720x1464
 HMD Global/Nokia, Nokia C20, COS, s9863a1h10_go_32b, 280dpi, 720x1471
 HMD Global/Nokia, Nokia 1.4, CBL, qcom, 280dpi, 720x1473
 HMD Global/Nokia, Nokia G10, ROGA, mt6762, 280dpi, 720x1473
 HMD Global/Nokia, Nokia G10, ROGA_sprout, mt6762, 280dpi, 720x1473
 HMD Global/Nokia, Nokia G20, RNN_sprout, mt6765, 280dpi, 720x1473
 HMD Global/Nokia, Nokia C30, MNR, s9863a1h10_go, 280dpi, 720x1503
 HMD Global/Nokia, Nokia G50, PHR, qcom, 280dpi, 720x1504
 HMD Global/Nokia, Nokia 2.4, WVR, mt6762, 360dpi, 720x1521
 HMD Global/Nokia, Nokia 2.4, WVR_sprout, mt6762, 280dpi, 720x1529
 HONOR, NTH-NX9, HNNTH, qcom, 540dpi, 1080x2122
 HONOR, NTN-LX1, HNNTN, qcom, 480dpi, 1080x2144
 HONOR, TFY-LX1, HNTFY-Q, qcom, 480dpi, 1080x2173
 HONOR, ANY-LX1, HNANY-Q1, qcom, 480dpi, 1080x2184
 HONOR, FNE-NX9, HNFNE, qcom, 480dpi, 1080x2202
 HONOR, NTH-AN00, HNNTH, qcom, 408dpi, 1080x2238
 HONOR, ANY-NX1, HNANY-Q, qcom, 480dpi, 1080x2298
 HONOR, LGE-NX9, HNLGE, qcom, 560dpi, 1312x2717
 HONOR, CMA-LX1, HNCMA-Q, qcom, 320dpi, 720x1552
 HONOR, MARS-2489, j6lte, samsungexynos7870, 320dpi, 987x1450
 HTC/htc, HTC One M9, htc_himaulatt, htc_hima, 480dpi, 1080x1776
 HTC/htc, HTC One_M8, htc_m8, qcom, 480dpi, 1080x1776
 HTC/htc, HTC One_M8 dual sim, htc_m8dug, qcom, 480dpi, 1080x1776
 HTC/htc, HTC One max, t6ul, t6ul, 400dpi, 1080x1920
 HTC/htc, HTC 10, htc_pmeuhl, htc_pme, 480dpi, 1080x1920
 HTC/htc, HTC 2PS5200, htc_e56ml_tuhl, mt6795, 480dpi, 1080x1920
 HTC/htc, HTC Desire 10 pro, htc_a56dj_pro_dugl, mt6755, 480dpi, 1080x1920
 HTC/htc, HTC One, m7, m7, 480dpi, 1080x1920
 HTC/htc, HTC One dual sim, m7cdug, m7cdug, 480dpi, 1080x1920
 HTC/htc, HTC One X9 dual sim, htc_e56ml_dtul, mt6795, 480dpi, 1080x1920
 HTC/htc, HTC U Play, htc_alpine_dugl, mt6755, 480dpi, 1080x1920
 HTC/htc, HTC U Ultra, htc_ocedugl, htc_oce, 480dpi, 1080x1920
 HTC/htc, HTC U11, htc_ocndugl, htc_ocn, 480dpi, 1080x1920
 HTC/htc, HTC U11 life, htc_ocla1_sprout, htc_ocl, 540dpi, 1080x1920
 HTC/htc, HTC 2Q4R400, htc_haydtwl, htc_hay, 480dpi, 1080x2008
 HTC/Htc, HTC U12 life, htc_imldugl, qcom, 480dpi, 1080x2010
 HTC/htc, HTC Desire 20 Pro, htc_bymdugl, qcom, 400dpi, 1080x2124
 HTC/htc, HTC U20 5G, htc_flhdugl, qcom, 520dpi, 1080x2147
 HTC/htc, HTC Desire 620G dual sim, htc_a31mg_dug, mt6592, 320dpi, 1196x720
 HTC/htc, HTC_D620h, htc_a31mg_dug, qcom, 640dpi, 1280x720
 HTC/htc, HTC One M9PLUS, htc_hiau_ml_tuhl, mt6795, 640dpi, 1440x2368
 HTC/htc, 2PYB2, htc_acawhl, htc_aca, 640dpi, 1440x2560
 HTC/htc, HTC 10, htc_pmewhl, htc_pme, 640dpi, 1440x2560
 HTC/htc, HTC U11, htc_ocnuhl, htc_ocn, 640dpi, 1440x2560
 HTC/htc, HTC U12+, htc_imedugl, htc_ime, 640dpi, 1440x2678
 HTC/htc, HTC U11 plus, htc_ocmdugl, htc_ocm, 544dpi, 1440x2708
 HTC/htc, HTC U11, htc_ocnwhl, htc_ocn, 640dpi, 2560x1440
 HTC/htc, HTC D816v, htc_a5dwgl, qcom, 320dpi, 720x1184
 HTC/htc, HTC Desire 530, htc_a16ul, htc_a16, 320dpi, 720x1184
 HTC/htc, HTC Desire 550, htc_a15ul, htc_a15, 320dpi, 720x1184
 HTC/htc, HTC Desire 616 dual sim, htc_v3_dug, mt6592, 320dpi, 720x1184
 HTC/htc, HTC Desire 626G dual sim, htc_a32mg_dug, mt6592, 320dpi, 720x1184
 HTC/htc, HTC Desire 628, htc_v36bml_uhl, mt6735, 320dpi, 720x1184
 HTC/htc, HTC Desire 816G dual sim, htc_a5mgp_dug, mt6592, 320dpi, 720x1184
 HTC/htc, HTC Desire 820G dual sim, htc_a50mgp_dug, mt6592, 320dpi, 720x1184
